pagina,visual_id,tipo_visual,tipo_campo,tabela,campo_medida
Gráfico Ajuste,75263454747f9f9af31a,cardVisual,Measure,Medidas,Total de Retornos
Gráfico Ajuste,37d91ed4e34d25cd883d,tableEx,Column,Base,Titulo
Gráfico Ajuste,37d91ed4e34d25cd883d,tableEx,Column,Base,Name
Gráfico Ajuste,37d91ed4e34d25cd883d,tableEx,Measure,Medidas,Qtd Retornos
Gráfico Ajuste,37d91ed4e34d25cd883d,tableEx,Measure,Medidas,Maior Nº de Retornos
Gráfico Ajuste,27f0a43982bd12b506aa,barChart,Column,Base,Titulo
Gráfico Ajuste,27f0a43982bd12b506aa,barChart,Column,Base,Name
Gráfico Ajuste,27f0a43982bd12b506aa,barChart,Measure,Medidas,Qtd Retornos
Gráfico Ajuste,53a773cef6ea1b130bbb,cardVisual,Measure,Medidas,UAs com Retorno
Gráfico Ajuste,470f44d59f5babad9d96,cardVisual,Measure,Medidas,UAs para Comitê
Gráfico Ajuste,4dd5bd5c40d4f1e3ffa0,slicer,Column,Base,Esteira Producao
Gráfico Ajuste,62c14c46218a524e381f,tableEx,Column,Base,Titulo
Gráfico Ajuste,62c14c46218a524e381f,tableEx,Column,Base,Name
Gráfico Ajuste,62c14c46218a524e381f,tableEx,Column,Base,Revisor Validador
Gráfico Ajuste,62c14c46218a524e381f,tableEx,Column,Base,Gestor de Validação - NQ
Gráfico Ajuste,62c14c46218a524e381f,tableEx,Measure,Medidas,Total de Retornos
Gráfico Ajuste,e25adc1c40e49d296893,cardVisual,Measure,Medidas,Maior Nº de Retornos
Gráfico Analises Conclúidas,a02e4ed2dbad85cecae5,slicer,Column,Base,Esteira Producao
Gráfico Analises Conclúidas,e89ff739757328172108,columnChart,Column,Base,Gestor de Validação - NQ
Gráfico Analises Conclúidas,e89ff739757328172108,columnChart,Column,Calendario,Date
Gráfico Analises Conclúidas,e89ff739757328172108,columnChart,Measure,Medidas,Liberadas por Dia
Gráfico Analises Conclúidas,e89ff739757328172108,columnChart,Measure,Medidas,Em Ajuste por Dia
Gráfico Analises Conclúidas,e89ff739757328172108,columnChart,Measure,Medidas,Validadas por Dia
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Column,Base,Gestor de Validação - NQ
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Column,Base,Revisor Validador
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Column,Calendario,Date
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Column,Base,Data do Ajuste e envio para Revalidação
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Measure,Medidas,Liberadas por Dia
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Measure,Medidas,Em Ajuste por Dia
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Measure,Medidas,Validadas por Dia
Gráfico Analises Conclúidas,35181f99c3a6011663ed,tableEx,Measure,Medidas,Total Validadas por Dia
Gráfico Analises Conclúidas,bc9172452e050618a3dc,cardVisual,Measure,Medidas,Análise Concluída por Dia
Gráfico Analises Conclúidas,40b1a10bc0a6a60a8170,slicer,Column,Calendario,Date
Análise de Dias para Validação,7f94bd264cc322a9a4d6,slicer,Column,Base,Revisor Validador
Análise de Dias para Validação,86e260e6f9a5be3a5b7c,slicer,Column,Base,Esteira Producao
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Titulo
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Name
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,DimBloco,Bloco
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Gestor de Validação - NQ
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Status Validação
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Data Liberação
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Dias até Ajuste
Análise de Dias para Validação,d32186b77ae54e690544,tableEx,Column,Base,Dias até Validação
Análise de Dias para Validação,d6b89e68e255a0979640,slicer,Column,Base,Status Dashboard
Análise de Dias para Validação,d6b89e68e255a0979640,slicer,Column,Historico_Atualizacoes,Bloco
Análise de Dias para Validação,817052cd39795f93497a,slicer,Column,Base,Gestor de Validação - NQ
Análise de Dias para Validação,a5f773f62717f65ffd43,slicer,Column,Base,Esteira Producao
Análise de Dias para Validação,0400d2bd7ede3c21192b,slicer,Column,DimBloco,Bloco
Análise de Dias para Validação,0400d2bd7ede3c21192b,slicer,Column,Historico_Atualizacoes,Bloco
Gráfico A1 e A3,26fc25005d5600787c2c,columnChart,Column,Dim A,Name
Gráfico A1 e A3,26fc25005d5600787c2c,columnChart,Column,Base,Grupo Status A1 e A3
Gráfico A1 e A3,26fc25005d5600787c2c,columnChart,Measure,Medidas,Qtd UAs
Gráfico A1 e A3,1b1740b9641d9d925a21,slicer,Column,Base,Name
Gráfico A1 e A3,d4699120017b82c76b31,slicer,Column,Base,Esteira Producao
Gráfico A1 e A3,30dbce0550d21e464192,pivotTable,Column,Dim A,Name
Gráfico A1 e A3,30dbce0550d21e464192,pivotTable,Measure,Medidas,Validadas A
Gráfico A1 e A3,30dbce0550d21e464192,pivotTable,Measure,Medidas,Enviadas para ajuste A
Gráfico A1 e A3,30dbce0550d21e464192,pivotTable,Measure,Medidas,Revalidar NQ A
Gráfico A1 e A3,30dbce0550d21e464192,pivotTable,Measure,Medidas,Liberadas para validação A
Dashboard Executivo,223fefd7dc2f34f7a61f,cardVisual,Measure,Medidas,% Analisado
Dashboard Executivo,c804e1eff389c875723f,cardVisual,Measure,Medidas,Última Atualização
Dashboard Executivo,39ff130869f81f5d66f9,cardVisual,Measure,Medidas,Total UAs
Dashboard Executivo,74db7a440d1403e8a7bc,cardVisual,Measure,Medidas,Status Revalidadas
Dashboard Executivo,42edd4ef9f4dbe2f267c,cardVisual,Measure,Medidas,Em Ajuste
Dashboard Executivo,bfa1d47ba611e40770f0,cardVisual,Measure,Medidas,UAs Não Liberadas
Dashboard Executivo,3618644fd49926e41130,cardVisual,Measure,Medidas,% a Chegar
Dashboard Executivo,14f423ae8fcb04e7881e,slicer,Column,DimBloco,Bloco
Dashboard Executivo,14f423ae8fcb04e7881e,slicer,Column,Historico_Atualizacoes,Bloco
Dashboard Executivo,a40734cd1126155a5cb0,cardVisual,Measure,Medidas,NQ
Dashboard Executivo,5e20c8bbf4b6e8e2dc8d,cardVisual,Measure,Medidas,Validadas
Dashboard Executivo,8d5f981856ebdd099817,slicer,Column,Base,Esteira Producao
Dashboard Executivo,7940b43ee6899d0cfe65,cardVisual,Measure,Medidas,Liberadas Geral
Dashboard Executivo,64a99800286d1d6b0015,cardVisual,Measure,Medidas,Status Liberadas
Dashboard Executivo,6085104f565af872bf51,slicer,Column,Base,Esteira Producao
Dashboard Executivo,58b5e16033bb720ce293,slicer,Column,Base,Revisor Validador
Dashboard Executivo,2a1b9994faea3cc1e12f,slicer,Column,Base,Status Dashboard
Dashboard Executivo,2a1b9994faea3cc1e12f,slicer,Column,Historico_Atualizacoes,Bloco
Dashboard Executivo,adc09a3d688edda684f2,slicer,Column,Base,Gestor de Validação - NQ
Gráfico Operacional,bdbaafba050ddb15d2e6,clusteredBarChart,Column,Base,Gestor de Validação - NQ
Gráfico Operacional,bdbaafba050ddb15d2e6,clusteredBarChart,Measure,Medidas,Liberadas
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Bloco
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Titulo
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Name
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Gestor de Validação - NQ
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Revisor Validador
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Data de Liberação para Validação
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Data de Atribuição Revisor
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Data de Solicitação de Ajustes - Conteudista
Gráfico Operacional,768c9f5205d00520065e,tableEx,Column,Base,Data da Validação
Gráfico Operacional,45e26d141c924604d16a,clusteredBarChart,Column,Base,Revisor Validador
